Problem: irb5376x5376, setup: 4.60 s, time: 55.10 ms, ``mflops'': 32501
Problem: irb5888x5888, setup: 6.55 s, time: 186.49 ms, ``mflops'': 11641
Problem: irb6400x6400, setup: 6.73 s, time: 82.33 ms, ``mflops'': 31452
Problem: irb6912x6912, setup: 6.95 s, time: 124.46 ms, ``mflops'': 24481
Problem: irb7424x7424, setup: 10.88 s, time: 286.24 ms, ``mflops'': 12379
Problem: irb7936x7936, setup: 13.03 s, time: 384.86 ms, ``mflops'': 10599
Problem: irb8448x8448, setup: 10.09 s, time: 170.69 ms, ``mflops'': 27270
Problem: irb8960x8960, setup: 11.58 s, time: 209.06 ms, ``mflops'': 25209
Problem: irb9472x9472, setup: 19.16 s, time: 590.94 ms, ``mflops'': 10028
Problem: irb9984x9984, setup: 12.73 s, time: 284.89 ms, ``mflops'': 23242
Problem: irb10496x10496, setup: 21.49 s, time: 677.62 ms, ``mflops'': 10858
Problem: irb11008x11008, setup: 20.86 s, time: 741.99 ms, ``mflops'': 10963
Problem: irb11520x11520, setup: 19.45 s, time: 337.75 ms, ``mflops'': 26507
Problem: irb12032x12032, setup: 21.57 s, time: 936.06 ms, ``mflops'': 10482
Problem: irb12544x12544, setup: 17.48 s, time: 449.33 ms, ``mflops'': 23839
Problem: irb13056x13056, setup: 21.31 s, time: 681.70 ms, ``mflops'': 17094
Problem: irb13568x13568, setup: 23.85 s, time: 1.28 s, ``mflops'': 9875.9
Problem: irb14080x14080, setup: 20.07 s, time: 563.66 ms, ``mflops'': 24235
Problem: irb14592x14592, setup: 22.10 s, time: 880.32 ms, ``mflops'': 16729
Problem: irb15104x15104, setup: 24.69 s, time: 1.55 s, ``mflops'': 10206
Problem: irb15616x15616, setup: 26.21 s, time: 1.85 s, ``mflops'': 9162.2
Problem: irb16128x16128, setup: 24.52 s, time: 678.35 ms, ``mflops'': 26798
Problem: orb256x256, setup: 110.77 ms, time: 74.56 us, ``mflops'': 35158
Problem: orb768x768, setup: 382.50 ms, time: 735.19 us, ``mflops'': 38449
Problem: orb1280x1280, setup: 630.89 ms, time: 2.45 ms, ``mflops'': 34577
Problem: orb1792x1792, setup: 531.98 ms, time: 5.62 ms, ``mflops'': 30901
Problem: orb2304x2304, setup: 1.30 s, time: 8.80 ms, ``mflops'': 33690
Problem: orb2816x2816, setup: 1.01 s, time: 21.30 ms, ``mflops'': 21335
Problem: orb3328x3328, setup: 1.06 s, time: 28.84 ms, ``mflops'': 22464
Problem: orb3840x3840, setup: 2.29 s, time: 33.36 ms, ``mflops'': 26318
Problem: orb4352x4352, setup: 1.60 s, time: 72.53 ms, ``mflops'': 15783
Problem: orb4864x4864, setup: 2.25 s, time: 117.89 ms, ``mflops'': 12290
Problem: orb5376x5376, setup: 2.40 s, time: 68.10 ms, ``mflops'': 26296
Problem: orb5888x5888, setup: 3.45 s, time: 184.99 ms, ``mflops'': 11735
Problem: orb6400x6400, setup: 3.11 s, time: 96.80 ms, ``mflops'': 26751
Problem: orb6912x6912, setup: 3.68 s, time: 138.66 ms, ``mflops'': 21974
Problem: orb7424x7424, setup: 5.50 s, time: 295.74 ms, ``mflops'': 11982
Problem: orb7936x7936, setup: 6.67 s, time: 382.18 ms, ``mflops'': 10674
Problem: orb8448x8448, setup: 4.57 s, time: 222.89 ms, ``mflops'': 20884
Problem: orb8960x8960, setup: 5.20 s, time: 239.23 ms, ``mflops'': 22029
Problem: orb9472x9472, setup: 9.62 s, time: 588.92 ms, ``mflops'': 10062
Problem: orb9984x9984, setup: 6.01 s, time: 308.89 ms, ``mflops'': 21436
Problem: orb10496x10496, setup: 10.78 s, time: 659.58 ms, ``mflops'': 11155
Problem: orb11008x11008, setup: 10.58 s, time: 762.79 ms, ``mflops'': 10664
Problem: orb11520x11520, setup: 9.26 s, time: 384.18 ms, ``mflops'': 23303
Problem: orb12032x12032, setup: 11.20 s, time: 934.64 ms, ``mflops'': 10498
Problem: orb12544x12544, setup: 8.34 s, time: 497.62 ms, ``mflops'': 21525
Problem: orb13056x13056, setup: 11.24 s, time: 696.46 ms, ``mflops'': 16732
Problem: orb13568x13568, setup: 12.41 s, time: 1.28 s, ``mflops'': 9862.9
Problem: orb14080x14080, setup: 10.49 s, time: 644.37 ms, ``mflops'': 21200
Problem: orb14592x14592, setup: 11.22 s, time: 899.54 ms, ``mflops'': 16372
Problem: orb15104x15104, setup: 12.44 s, time: 1.58 s, ``mflops'': 9997.3
Problem: orb15616x15616, setup: 14.30 s, time: 1.86 s, ``mflops'': 9113.6
Problem: orb16128x16128, setup: 12.94 s, time: 764.22 ms, ``mflops'': 23787
Problem: irf96x96x96, setup: 344.80 ms, time: 1.15 ms, ``mflops'': 38145
Problem: irf112x112x112, setup: 303.01 ms, time: 2.04 ms, ``mflops'': 35092
Problem: irf128x128x128, setup: 678.11 ms, time: 2.44 ms, ``mflops'': 45068
Problem: irf144x144x144, setup: 773.88 ms, time: 8.41 ms, ``mflops'': 19098
Problem: irf160x160x160, setup: 810.03 ms, time: 5.93 ms, ``mflops'': 37902
Problem: irf176x176x176, setup: 854.42 ms, time: 10.51 ms, ``mflops'': 29031
Problem: irf192x192x192, setup: 1.20 s, time: 10.11 ms, ``mflops'': 39810
