Problem: orf1792x1792, setup: 574.14 ms, time: 7.32 ms, ``mflops'': 23707
Problem: orf2304x2304, setup: 1.39 s, time: 11.69 ms, ``mflops'': 25355
Problem: orf2816x2816, setup: 1.02 s, time: 18.53 ms, ``mflops'': 24521
Problem: orf3328x3328, setup: 1.10 s, time: 23.48 ms, ``mflops'': 27599
Problem: orf3840x3840, setup: 2.15 s, time: 33.56 ms, ``mflops'': 26158
Problem: orf4352x4352, setup: 1.59 s, time: 71.81 ms, ``mflops'': 15941
Problem: orf4864x4864, setup: 2.43 s, time: 111.31 ms, ``mflops'': 13016
Problem: orf5376x5376, setup: 2.38 s, time: 61.88 ms, ``mflops'': 28939
Problem: orf5888x5888, setup: 3.57 s, time: 192.88 ms, ``mflops'': 11255
Problem: orf6400x6400, setup: 3.09 s, time: 88.49 ms, ``mflops'': 29261
Problem: orf6912x6912, setup: 3.75 s, time: 129.79 ms, ``mflops'': 23476
Problem: orf7424x7424, setup: 5.53 s, time: 271.49 ms, ``mflops'': 13052
Problem: orf7936x7936, setup: 6.70 s, time: 361.71 ms, ``mflops'': 11278
Problem: orf8448x8448, setup: 4.38 s, time: 203.30 ms, ``mflops'': 22896
Problem: orf8960x8960, setup: 5.19 s, time: 215.50 ms, ``mflops'': 24455
Problem: orf9472x9472, setup: 9.83 s, time: 577.09 ms, ``mflops'': 10268
Problem: orf9984x9984, setup: 5.84 s, time: 276.12 ms, ``mflops'': 23981
Problem: orf10496x10496, setup: 10.77 s, time: 624.62 ms, ``mflops'': 11780
Problem: orf11008x11008, setup: 10.52 s, time: 732.51 ms, ``mflops'': 11105
Problem: orf11520x11520, setup: 9.40 s, time: 378.98 ms, ``mflops'': 23623
Problem: orf12032x12032, setup: 11.77 s, time: 1.01 s, ``mflops'': 9755.5
Problem: orf12544x12544, setup: 8.31 s, time: 468.96 ms, ``mflops'': 22841
Problem: orf13056x13056, setup: 11.08 s, time: 674.96 ms, ``mflops'': 17265
Problem: orf13568x13568, setup: 12.28 s, time: 1.26 s, ``mflops'': 9991.5
Problem: orf14080x14080, setup: 10.64 s, time: 592.87 ms, ``mflops'': 23041
Problem: orf14592x14592, setup: 11.06 s, time: 872.82 ms, ``mflops'': 16873
Problem: orf15104x15104, setup: 12.41 s, time: 1.53 s, ``mflops'': 10336
Problem: orf15616x15616, setup: 13.68 s, time: 1.91 s, ``mflops'': 8907.5
Problem: orf16128x16128, setup: 12.58 s, time: 701.53 ms, ``mflops'': 25912
Problem: irb256x256, setup: 165.51 ms, time: 80.08 us, ``mflops'': 32736
Problem: irb768x768, setup: 607.05 ms, time: 739.12 us, ``mflops'': 38244
Problem: irb1280x1280, setup: 981.48 ms, time: 2.74 ms, ``mflops'': 30874
Problem: irb1792x1792, setup: 901.86 ms, time: 6.60 ms, ``mflops'': 26294
Problem: irb2304x2304, setup: 2.13 s, time: 10.44 ms, ``mflops'': 28401
Problem: irb2816x2816, setup: 1.69 s, time: 17.54 ms, ``mflops'': 25903
Problem: irb3328x3328, setup: 1.85 s, time: 23.02 ms, ``mflops'': 28141
Problem: irb3840x3840, setup: 3.67 s, time: 32.41 ms, ``mflops'': 27087
Problem: irb4352x4352, setup: 3.39 s, time: 73.48 ms, ``mflops'': 15577
Problem: irb4864x4864, setup: 4.32 s, time: 115.91 ms, ``mflops'': 12500
Problem: irb5376x5376, setup: 4.64 s, time: 61.67 ms, ``mflops'': 29037
Problem: irb5888x5888, setup: 6.75 s, time: 186.80 ms, ``mflops'': 11621
Problem: irb6400x6400, setup: 7.23 s, time: 124.77 ms, ``mflops'': 20754
Problem: irb6912x6912, setup: 6.94 s, time: 118.41 ms, ``mflops'': 25731
Problem: irb7424x7424, setup: 11.52 s, time: 278.51 ms, ``mflops'': 12723
Problem: irb7936x7936, setup: 12.97 s, time: 380.56 ms, ``mflops'': 10719
Problem: irb8448x8448, setup: 9.85 s, time: 198.32 ms, ``mflops'': 23471
Problem: irb8960x8960, setup: 12.02 s, time: 200.97 ms, ``mflops'': 26224
Problem: irb9472x9472, setup: 18.47 s, time: 597.58 ms, ``mflops'': 9916.1
Problem: irb9984x9984, setup: 13.03 s, time: 275.74 ms, ``mflops'': 24014
Problem: irb10496x10496, setup: 21.45 s, time: 662.69 ms, ``mflops'': 11103
Problem: irb11008x11008, setup: 19.84 s, time: 748.56 ms, ``mflops'': 10867
Problem: irb11520x11520, setup: 19.57 s, time: 317.01 ms, ``mflops'': 28240
Problem: irb12032x12032, setup: 21.61 s, time: 939.98 ms, ``mflops'': 10438
Problem: irb12544x12544, setup: 17.75 s, time: 441.04 ms, ``mflops'': 24287
Problem: irb13056x13056, setup: 21.62 s, time: 707.29 ms, ``mflops'': 16475
Problem: irb13568x13568, setup: 23.86 s, time: 1.29 s, ``mflops'': 9822.2
Problem: irb14080x14080, setup: 19.84 s, time: 572.56 ms, ``mflops'': 23859
